wavelength_micron,bin_width_micron,depth_ppm,error_ppm,full_model_with_offset_ppm,no_co2_model_with_offset_ppm,delta_chi2_contribution,leave_one_out_delta_chi2,in_4p1_4p6_window
3.032,0.012,21716.45249,79.69166994,21571.3497,21668.03859,-2.946246935,777.4140667,False
3.056,0.012,21512.85644,70.52457662,21549.0229,21646.82158,3.345314927,770.9635138,False
3.0795,0.0115,21558.06306,76.41052997,21486.31758,21611.97947,-0.3837298647,774.7960632,False
3.1025,0.0115,21456.27903,103.4909711,21458.43543,21578.18933,1.387202658,772.9980582,False
3.126,0.012,21355.57175,77.54086858,21404.36739,21545.76881,5.620527762,768.6521661,False
3.1495,0.0115,21528.30019,80.40460381,21407.6963,21508.906,-2.191706541,776.6420978,False
3.1735,0.0115,21306.19953,82.02098067,21388.27035,21479.76959,3.476945385,770.8542573,False
3.1965,0.0115,21370.70424,84.69798731,21399.65063,21478.23604,1.495061279,772.8791166,False
3.22,0.012,21391.24165,81.61744357,21311.14258,21457.81512,-0.2978100153,774.7071898,False
3.244,0.012,21226.76181,82.30547262,21273.74531,21386.7773,3.453919218,770.8782634,False
3.2675,0.0115,21078.16148,86.79639521,21246.79056,21358.64084,6.667836273,767.6123721,False
3.2905,0.0115,21115.10655,90.77242341,21235.27144,21368.9154,6.065723079,768.2353322,False
3.314,0.012,21283.80252,84.54158206,21261.70974,21367.18684,0.9045194434,773.4810379,False
3.338,0.012,21289.85356,88.4080083,21239.05346,21365.46563,0.4012978021,773.9947294,False
3.3615,0.0115,21075.87236,120.6960994,21228.79071,21352.77036,3.658026707,770.7105543,False
3.3845,0.0115,21257.30946,87.08134109,21243.06103,21346.68189,1.026539449,773.357813,False
3.408,0.012,21106.596,91.62895228,21232.91947,21350.90405,5.208374339,769.1087703,False
3.432,0.012,21263.26583,79.7398419,21222.76987,21336.0654,0.5755896801,773.8149472,False
3.4555,0.0115,21154.32958,89.8864618,21193.62715,21321.08095,3.250383455,771.0969577,False
3.4785,0.0115,21119.85663,92.12532276,21204.98937,21318.47339,3.794126007,770.5470575,False
3.502,0.012,20980.47673,101.7646296,21190.39978,21311.32567,6.314511537,768.0043673,False
3.526,0.012,21194.48998,92.42124056,21185.23639,21299.11818,1.271579153,773.1109411,False
3.5725,0.0115,21298.80826,98.17894866,21169.91538,21289.43429,-1.714422865,776.142185,False
3.5965,0.0115,21185.17331,97.52302112,21161.07114,21281.26115,0.9097040691,773.4802144,False
3.62,0.012,21153.45096,100.5465264,21148.10498,21264.7269,1.221982219,773.1644603,False
3.6435,0.0115,21294.72359,96.30449805,21128.32676,21251.75621,-2.786301246,777.2310438,False
3.6665,0.0115,21273.02406,98.8389104,21127.12484,21246.57936,-2.107379212,776.5403733,False
3.69,0.012,20979.12467,87.28016333,21120.1208,21237.26635,6.137868533,768.1533857,False
3.714,0.012,21043.5436,98.9486355,21109.1995,21231.10915,3.152963713,771.2056467,False
3.7375,0.0115,21142.56655,104.7040759,21129.62917,21235.54021,0.7732162649,773.6201971,False
3.7605,0.0115,21065.34867,108.0546878,21102.34507,21225.5389,2.080554876,772.2980077,False
3.784,0.012,20947.27851,92.34082498,21103.59077,21216.26464,5.61991129,768.6918859,False
3.808,0.012,21198.39974,107.8260767,21079.40283,21198.83265,-1.217917954,775.63553,False
3.8315,0.0115,20845.22696,117.5364306,21072.83965,21179.16257,4.321843523,770.0382155,False
3.8545,0.0115,20915.14592,114.6575861,21035.78684,21155.075,3.271759231,771.0970946,False
3.8785,0.0115,21025.96003,95.59182536,21036.22463,21158.59457,1.913651718,772.4605059,False
3.902,0.012,20904.70365,116.0781955,21043.74026,21158.06471,3.329386633,771.0397208,False
3.9255,0.0115,21091.15867,115.1952826,21035.31018,21155.5843,0.07774020811,774.324607,False
3.9485,0.0115,20998.29924,121.7646563,21034.51464,21155.59267,1.580242151,772.8082403,False
3.972,0.012,21099.48003,99.97294985,21042.92022,21161.74123,0.06778098624,774.3344358,False
3.996,0.012,21420.75677,124.3862606,21055.53542,21172.81488,-4.64786204,779.0923549,False
4.0195,0.0115,21368.87723,103.0866114,21046.6742,21169.45872,-6.026908548,780.5084239,False
4.0425,0.0115,21458.50934,121.5049119,21064.65303,21178.83335,-5.209091654,779.6608202,False
4.066,0.012,21135.58334,126.8547662,21082.73359,21209.96367,0.1702284998,774.2314709,False
4.09,0.012,21062.26767,109.7422642,21116.77471,21226.87395,2.003112005,772.3770968,False
4.1135,0.0115,20932.27724,128.4846064,21130.31119,21231.08911,3.033086499,771.3447993,True
4.1365,0.0115,21074.10944,109.8192282,21140.79202,21253.27957,2.293098279,772.0838259,True
4.16,0.012,21319.64587,134.4748941,21188.47214,21282.15578,-0.8737822656,775.2835774,True
4.184,0.012,21233.11996,111.0348197,21306.63965,21289.82558,-0.1776027352,774.5827441,True
4.2075,0.0115,21915.0184,133.6209638,21543.02591,21280.76316,14.7806091,759.5087638,True
4.2305,0.0115,21900.12249,106.0260047,21774.78134,21284.43908,32.32266297,741.6834989,True
4.254,0.012,22372.64299,136.3906832,22025.28441,21303.57023,54.95299343,719.0442635,True
4.278,0.012,22463.7881,119.7342791,22216.21326,21319.00779,87.13746646,686.4287023,True
4.3015,0.0115,22421.33163,137.0980902,22365.73633,21311.56519,65.359552,708.5658447,True
4.3245,0.0115,22429.35771,117.4830371,22413.47984,21322.50135,88.74478059,684.7726384,True
4.348,0.012,22673.44476,143.3342247,22463.08838,21337.61066,84.70325435,689.1338021,True
4.372,0.012,22522.55526,125.883434,22459.42629,21360.58643,84.95090316,688.7147147,True
4.3955,0.0115,22622.75585,132.1258083,22449.34058,21388.081,85.60059029,688.1284919,True
4.4185,0.0115,22661.66578,146.6005595,22400.65342,21411.15203,69.59223859,704.3664351,True
4.466,0.012,21895.93794,127.2163691,22254.32793,21446.3549,4.552737307,769.8117217,True
4.4895,0.0115,22169.74792,146.7632102,22180.68209,21472.37565,22.57294215,751.686362,True
4.5125,0.0115,21602.08504,134.9216281,22062.6117,21488.97015,-10.94767689,785.4334778,True
4.536,0.012,21702.00494,128.2409424,21962.52894,21508.44628,-1.84897747,776.267595,True
4.56,0.012,21752.0631,164.2289902,21834.78462,21504.92152,2.010892669,772.382041,True
4.583,0.012,21656.77547,141.6102458,21697.29679,21498.06776,1.174169348,773.2209443,True
4.6065,0.0115,21627.0304,144.6181657,21622.14222,21507.21641,0.6852450867,773.7134112,False
4.63,0.012,21407.36081,136.9175801,21558.81159,21520.56102,-0.539998975,774.9471112,False
4.654,0.012,21565.23091,169.3126063,21494.14839,21518.67592,-0.1006516769,774.5042874,False
4.6775,0.0115,21423.1349,144.2346072,21488.52749,21515.72895,0.2065730517,774.1952182,False
4.7005,0.0115,21538.87055,145.409345,21455.08648,21536.36774,-0.3317038905,774.7370121,False
4.748,0.012,21399.04941,149.9267816,21437.24676,21537.12212,0.7832103827,773.6151627,False
4.7715,0.0115,21919.86546,179.2929617,21480.101,21544.56719,-1.63454365,776.0446631,False
4.7945,0.0115,21488.3529,139.8449063,21465.50061,21540.62842,0.1130310595,774.2893296,False
4.818,0.012,21334.98665,151.7920624,21435.1281,21520.10061,1.051996344,773.3448936,False
4.842,0.012,21528.63928,150.9360824,21417.70316,21513.11381,-0.529626006,774.9359705,False
4.865,0.012,21344.7169,157.0401799,21430.91086,21513.36474,0.8520403623,773.5463756,False
4.8885,0.0115,21113.91873,160.4264207,21409.93993,21512.44325,2.766221767,771.6221947,False
4.912,0.012,21114.57247,162.4087349,21397.92205,21509.7744,2.877459233,771.5107384,False
4.936,0.012,21607.44557,159.9967994,21406.2957,21510.90642,-1.216512051,775.6261831,False
4.9595,0.0115,21786.93624,159.0912117,21445.25172,21513.73087,-1.663655392,776.0758239,False
4.9825,0.0115,20958.79278,152.5624118,21362.53637,21512.35782,6.162130206,768.2047009,False
5.006,0.012,21413.63237,159.639432,21394.64684,21512.9138,0.3726288602,774.0285206,False
5.03,0.012,21049.46283,168.3253694,21419.9616,21515.28281,2.813599059,771.5759455,False
5.0765,0.0115,21533.20054,175.7273408,21393.48049,21520.03615,-0.6265650801,775.0324994,False
5.1,0.012,21242.81462,183.0793739,21414.8975,21513.73237,1.306278236,773.0915389,False
5.124,0.012,21357.98459,170.9269842,21373.05588,21524.3651,0.9397350129,773.4590118,False
5.147,0.012,21637.26752,178.1998791,21453.85131,21540.16089,-0.7624518994,775.1688955,False
5.1705,0.0115,21139.48687,189.8098835,21427.09272,21543.31576,2.230518288,772.1641598,False
5.194,0.012,21083.53989,181.5998563,21396.35321,21527.72495,3.015545463,771.3750854,False
5.218,0.012,21409.90196,161.8806047,21409.34671,21517.75271,0.4438591496,773.9569731,False
5.2415,0.0115,21830.81897,188.0789791,21412.91777,21532.17131,-2.415664317,776.8281693,False
5.2645,0.0115,21380.13351,191.1661858,21446.39595,21540.45629,0.5831979259,773.8177718,False
5.288,0.012,21185.20004,181.614828,21432.51504,21544.85477,2.067272968,772.3272975,False
