requested_width_micron,center_micron,deleted_min_micron,deleted_max_micron,n_deleted,n_retained,delta_chi2_no_co2_minus_full
0.1,3.032,3.032,3.0795,3,90,774.382168145
0.1,3.056,3.032,3.1025,4,89,772.877038777
0.1,3.0795,3.032,3.126,5,88,766.655720822
0.1,3.1025,3.056,3.1495,5,88,765.774759213
0.1,3.126,3.0795,3.1735,5,88,765.656632378
0.1,3.1495,3.1025,3.1965,5,88,763.635406319
0.1,3.1735,3.126,3.22,5,88,765.346614929
0.1,3.1965,3.1495,3.244,5,88,767.701735582
0.1,3.22,3.1735,3.2675,5,88,757.892690831
0.1,3.244,3.1965,3.2905,5,88,755.163901913
0.1,3.2675,3.22,3.314,5,88,755.799944748
0.1,3.2905,3.244,3.338,5,88,755.170052837
0.1,3.314,3.2675,3.3615,5,88,755.175974479
0.1,3.338,3.2905,3.3845,5,88,761.354247969
0.1,3.3615,3.314,3.408,5,88,762.255325506
0.1,3.3845,3.338,3.432,5,88,762.574929507
0.1,3.408,3.3615,3.4555,5,88,759.500268156
0.1,3.432,3.3845,3.4785,5,88,759.228519562
0.1,3.4555,3.408,3.502,5,88,753.524521576
0.1,3.4785,3.432,3.526,5,88,757.832292509
0.1,3.502,3.4555,3.526,4,89,758.809222505
0.1,3.526,3.4785,3.5725,4,89,764.130096028
0.1,3.5725,3.526,3.62,4,89,772.606879879
0.1,3.5965,3.5725,3.6435,4,89,776.908299473
0.1,3.62,3.5725,3.6665,5,88,779.212399318
0.1,3.6435,3.5965,3.69,5,88,770.73737187
0.1,3.6665,3.62,3.714,5,88,768.32018352
0.1,3.69,3.6435,3.7375,5,88,768.812324401
0.1,3.714,3.6665,3.7605,5,88,763.616385113
0.1,3.7375,3.69,3.784,5,88,755.267301755
0.1,3.7605,3.714,3.808,5,88,763.258819897
0.1,3.784,3.7375,3.8315,5,88,762.044686154
0.1,3.808,3.7605,3.8545,5,88,759.408432382
0.1,3.8315,3.784,3.8785,5,88,759.530386372
0.1,3.8545,3.808,3.902,5,88,762.058183016
0.1,3.8785,3.8315,3.9255,5,88,760.706837384
0.1,3.902,3.8545,3.9485,5,88,763.6331879
0.1,3.9255,3.8785,3.972,5,88,766.998422477
0.1,3.9485,3.902,3.996,5,88,773.971422902
0.1,3.972,3.9255,4.0195,5,88,783.870527859
0.1,3.996,3.9485,4.0425,5,88,789.455456009
0.1,4.0195,3.972,4.066,5,88,790.939052438
0.1,4.0425,3.996,4.09,5,88,788.8380841
0.1,4.066,4.0195,4.1135,5,88,780.707449805
0.1,4.09,4.0425,4.1365,5,88,771.972094138
0.1,4.1135,4.066,4.16,5,88,767.450334984
0.1,4.1365,4.09,4.184,5,88,767.840423064
0.1,4.16,4.1135,4.2075,5,88,755.350770063
0.1,4.184,4.1365,4.2305,5,88,725.405700389
0.1,4.2075,4.16,4.254,5,88,670.769142097
0.1,4.2305,4.184,4.278,5,88,578.813624494
0.1,4.254,4.2075,4.3015,5,88,508.844476824
0.1,4.278,4.2305,4.3245,5,88,430.56350163
0.1,4.3015,4.254,4.348,5,88,377.276720161
0.1,4.3245,4.278,4.372,5,88,345.499720737
0.1,4.348,4.3015,4.3955,5,88,347.917213385
0.1,4.372,4.3245,4.4185,5,88,343.871143024
0.1,4.3955,4.348,4.4185,4,89,439.703908843
0.1,4.4185,4.372,4.466,4,89,522.260130973
0.1,4.466,4.4185,4.5125,4,89,686.634583283
0.1,4.4895,4.466,4.536,4,89,759.78763368
0.1,4.5125,4.466,4.56,5,88,757.617506835
0.1,4.536,4.4895,4.583,5,88,761.108080178
0.1,4.56,4.5125,4.6065,5,88,783.393282192
0.1,4.583,4.536,4.63,5,88,772.923742425
0.1,4.6065,4.56,4.654,5,88,771.141286194
0.1,4.63,4.583,4.6775,5,88,772.990222599
0.1,4.654,4.6065,4.7005,5,88,774.485319002
0.1,4.6775,4.63,4.7005,4,89,775.161428993
0.1,4.7005,4.654,4.748,4,89,773.83513796
0.1,4.748,4.7005,4.7945,4,89,775.512832311
0.1,4.7715,4.748,4.818,4,89,774.096542124
0.1,4.7945,4.748,4.842,5,88,774.642514423
0.1,4.818,4.7715,4.865,5,88,774.566282773
0.1,4.842,4.7945,4.8885,5,88,770.027274788
0.1,4.865,4.818,4.912,5,88,767.194441732
0.1,4.8885,4.842,4.936,5,88,769.525960728
0.1,4.912,4.865,4.9595,5,88,770.717819867
0.1,4.936,4.8885,4.9825,5,88,765.303329032
0.1,4.9595,4.912,5.006,5,88,767.765455629
0.1,4.9825,4.936,5.03,5,88,767.822257509
0.1,5.006,4.9595,5.03,4,89,766.600138145
0.1,5.03,4.9825,5.0765,4,89,765.503629346
0.1,5.0765,5.03,5.124,4,89,769.874846234
0.1,5.1,5.0765,5.147,4,89,773.534452725
0.1,5.124,5.0765,5.1705,5,88,771.252758173
0.1,5.147,5.1,5.194,5,88,767.540871615
0.1,5.1705,5.124,5.218,5,88,768.418881338
0.1,5.194,5.147,5.2415,5,88,771.849676643
0.1,5.218,5.1705,5.2645,5,88,770.468187504
0.1,5.2415,5.194,5.288,5,88,770.632520589
0.1,5.2645,5.218,5.288,4,89,773.708694464
0.1,5.288,5.2415,5.288,3,90,774.162739597
0.25,3.032,3.032,3.1495,6,87,769.064361725
0.25,3.056,3.032,3.1735,7,86,764.776018572
0.25,3.0795,3.032,3.1965,8,85,762.718447705
0.25,3.1025,3.032,3.22,9,84,762.697717944
0.25,3.126,3.032,3.244,10,83,758.046852654
0.25,3.1495,3.032,3.2675,11,82,749.051846489
0.25,3.1735,3.056,3.2905,11,82,737.574082555
0.25,3.1965,3.0795,3.314,11,82,741.119939874
0.25,3.22,3.1025,3.338,11,82,740.407350801
0.25,3.244,3.126,3.3615,11,82,737.741193729
0.25,3.2675,3.1495,3.3845,11,82,743.627511003
0.25,3.2905,3.1735,3.408,11,82,734.524352998
0.25,3.314,3.1965,3.432,11,82,738.135015365
0.25,3.338,3.22,3.4555,11,82,736.005370203
0.25,3.3615,3.244,3.4785,11,82,731.365633781
0.25,3.3845,3.2675,3.502,11,82,728.25300944
0.25,3.408,3.2905,3.526,11,82,735.002886153
0.25,3.432,3.314,3.526,10,83,742.944810213
0.25,3.4555,3.338,3.5725,10,83,746.186797261
0.25,3.4785,3.3615,3.5965,10,83,745.714252727
0.25,3.502,3.3845,3.62,10,83,748.449303241
0.25,3.526,3.408,3.6435,10,83,753.002523205
0.25,3.5725,3.4555,3.69,10,83,755.189525168
0.25,3.5965,3.4785,3.714,10,83,755.36315483
0.25,3.62,3.502,3.7375,10,83,758.996962512
0.25,3.6435,3.526,3.7605,10,83,763.948907448
0.25,3.6665,3.5725,3.784,10,83,758.842264007
0.25,3.69,3.5725,3.808,11,82,760.056578235
0.25,3.714,3.5965,3.8315,11,82,752.973642827
0.25,3.7375,3.62,3.8545,11,82,750.320764378
0.25,3.7605,3.6435,3.8785,11,82,749.464385981
0.25,3.784,3.6665,3.902,11,82,742.504385077
0.25,3.808,3.69,3.9255,11,82,740.112492238
0.25,3.8315,3.714,3.9485,11,82,745.699091122
0.25,3.8545,3.7375,3.972,11,82,749.246727138
0.25,3.8785,3.7605,3.996,11,82,755.545434516
0.25,3.902,3.784,4.0195,11,82,764.765899833
0.25,3.9255,3.808,4.0425,11,82,777.226288962
0.25,3.9485,3.8315,4.066,11,82,775.64784136
0.25,3.972,3.8545,4.09,11,82,778.329637289
0.25,3.996,3.8785,4.1135,11,82,778.512555031
0.25,4.0195,3.902,4.1365,11,82,778.044601596
0.25,4.0425,3.9255,4.16,11,82,782.788642861
0.25,4.066,3.9485,4.184,11,82,782.822946242
0.25,4.09,3.972,4.2075,11,82,770.090404769
0.25,4.1135,3.996,4.2305,11,82,736.87338267
0.25,4.1365,4.0195,4.254,11,82,675.727451188
0.25,4.16,4.0425,4.278,11,82,579.219178629
0.25,4.184,4.066,4.3015,11,82,505.5986695
0.25,4.2075,4.09,4.3245,11,82,409.875061901
0.25,4.2305,4.1135,4.348,11,82,319.012529891
0.25,4.254,4.1365,4.372,11,82,225.207443322
0.25,4.278,4.16,4.3955,11,82,128.759553531
0.25,4.3015,4.184,4.4185,11,82,48.3401472887
0.25,4.3245,4.2075,4.4185,10,83,48.185863531
0.25,4.348,4.2305,4.466,10,83,58.7055926074
0.25,4.372,4.254,4.4895,10,83,72.6897903388
0.25,4.3955,4.278,4.5125,10,83,146.941930788
0.25,4.4185,4.3015,4.536,10,83,246.492532865
0.25,4.466,4.348,4.583,10,83,412.890899274
0.25,4.4895,4.372,4.6065,10,83,502.820846445
0.25,4.5125,4.3955,4.63,10,83,594.639307798
0.25,4.536,4.4185,4.654,10,83,684.315659181
0.25,4.56,4.466,4.6775,10,83,756.273723069
0.25,4.583,4.466,4.7005,11,82,756.511654838
0.25,4.6065,4.4895,4.7005,10,83,761.300475459
0.25,4.63,4.5125,4.748,10,83,783.61596849
0.25,4.654,4.536,4.7715,10,83,773.882403191
0.25,4.6775,4.56,4.7945,10,83,771.997161688
0.25,4.7005,4.583,4.818,10,83,772.996542941
0.25,4.748,4.63,4.865,10,83,774.478569164
0.25,4.7715,4.654,4.8885,10,83,771.100978711
0.25,4.7945,4.6775,4.912,10,83,767.958605903
0.25,4.818,4.7005,4.936,10,83,769.463723276
0.25,4.842,4.748,4.9595,10,83,770.90884858
0.25,4.865,4.748,4.9825,11,82,764.472455896
0.25,4.8885,4.7715,5.006,11,82,764.911035494
0.25,4.912,4.7945,5.03,11,82,760.096875434
0.25,4.936,4.818,5.03,10,83,760.284507115
0.25,4.9595,4.842,5.0765,10,83,762.060280562
0.25,4.9825,4.865,5.1,10,83,760.134055869
0.25,5.006,4.8885,5.124,10,83,760.042826424
0.25,5.03,4.912,5.147,10,83,763.798960014
0.25,5.0765,4.9595,5.194,10,83,760.068264934
0.25,5.1,4.9825,5.218,10,83,757.775508317
0.25,5.124,5.006,5.2415,10,83,766.739939932
0.25,5.147,5.03,5.2645,10,83,766.533422762
