correlated_amplitude_over_median_error,correlation_length_micron,n_bins,covariance_condition_number,covariance_min_eigenvalue,full_chi2,no_co2_chi2,delta_chi2_no_co2_minus_full
0.0,0.05,93,7.34752673647,4973.71590711,179.186375349,953.589529888,774.403154539
0.0,0.1,93,7.34752673647,4973.71590711,179.186375349,953.589529888,774.403154539
0.0,0.25,93,7.34752673647,4973.71590711,179.186375349,953.589529888,774.403154539
0.0,0.5,93,7.34752673647,4973.71590711,179.186375349,953.589529888,774.403154539
0.25,0.05,93,6.88852864327,5525.30397331,165.70860939,800.6064808,634.89787141
0.25,0.1,93,7.26743155725,5386.61756949,166.137043958,742.158173577,576.021129618
0.25,0.25,93,8.0819757279,5268.96444521,168.840445018,707.717125429,538.876680411
0.25,0.5,93,9.68450865901,5207.49525858,171.654075822,733.799922401,562.145846579
0.5,0.05,93,7.23265264656,6431.5538184,140.351821625,557.904107359,417.552285734
0.5,0.1,93,9.38031582447,5901.59589994,144.491730947,483.563098629,339.071367682
0.5,0.25,93,15.8224905472,5539.48117733,153.463988998,473.012860058,319.54887106
0.5,0.5,93,25.6078163178,5394.08341129,160.293478887,526.042565862,365.749086975
1.0,0.05,93,9.09873403291,9570.39377678,98.0477349075,278.556519136,180.508784228
1.0,0.1,93,18.1467915565,7565.59858555,109.854144228,244.416733654,134.562589426
1.0,0.25,93,47.1540889953,6260.32436562,127.886651474,266.092036433,138.205384959
1.0,0.5,93,86.5859742,5798.5620728,140.491520158,322.381627374,181.890107216
2.0,0.05,93,12.7746934528,20712.8370469,52.4613361215,109.286673729,56.8253376079
2.0,0.1,93,36.1131003053,13741.0811391,68.490640537,110.024125111,41.5334845741
2.0,0.25,93,127.718375898,8876.80710277,92.7813360222,139.171715139,46.3903791171
2.0,0.5,93,274.117786067,7152.16723277,110.521976145,179.333458152,68.8114820068
