design_id,model_sampling,asymmetric_error_rule,rebin_factor,rebin_origin,n_bins,full_chi2,no_co2_chi2,delta_chi2_no_co2_minus_full
1,center,mean,1,0,93,179.186375349,953.589529888,774.403154539
2,center,mean,2,0,46,93.0016342596,840.84870569,747.847071431
3,center,mean,2,1,46,112.686630984,892.876242672,780.189611688
4,center,mean,4,0,23,59.8787329779,777.008167785,717.129434807
5,center,mean,4,1,23,60.4107140882,811.548593644,751.137879556
6,center,mean,4,2,22,49.6986923331,777.251917426,727.553225093
7,center,mean,4,3,22,75.6548560791,818.018869564,742.364013485
8,center,mean,8,0,11,30.2997438208,645.650250007,615.350506187
9,center,mean,8,1,11,30.2734402006,728.051645588,697.778205388
10,center,mean,8,2,11,30.4434432863,732.683347328,702.239904042
11,center,mean,8,3,11,47.2426018209,756.504169357,709.261567536
12,center,mean,8,4,11,29.3179755915,682.341535266,653.023559675
13,center,mean,8,5,11,33.9319438137,648.014409003,614.08246519
14,center,mean,8,6,10,26.8096170484,606.092505724,579.282888675
15,center,mean,8,7,10,25.0527690839,604.768693196,579.715924112
16,center,maximum,1,0,93,171.256588453,918.612635237,747.356046784
17,center,maximum,2,0,46,88.5265699405,810.500083519,721.973513578
18,center,maximum,2,1,46,107.150890694,860.152949227,753.002058533
19,center,maximum,4,0,23,57.3974018842,750.840206096,693.442804212
20,center,maximum,4,1,23,57.4499646873,782.680651889,725.230687202
21,center,maximum,4,2,22,46.4955481964,748.066850341,701.571302144
22,center,maximum,4,3,22,71.971969196,788.20886926,716.236900064
23,center,maximum,8,0,11,28.721123417,622.035212658,593.314089241
24,center,maximum,8,1,11,28.5266551384,701.546139073,673.019483935
25,center,maximum,8,2,11,28.600843588,705.098374851,676.497531263
26,center,maximum,8,3,11,44.8768335097,729.433286914,684.556453404
27,center,maximum,8,4,11,28.1817166367,661.469551664,633.287835027
28,center,maximum,8,5,11,32.3378748315,628.569626476,596.231751645
29,center,maximum,8,6,10,25.5182990053,587.042572407,561.524273401
30,center,maximum,8,7,10,23.7146026012,583.345371802,559.630769201
31,bin_integrated,mean,1,0,93,179.364599915,953.790707142,774.426107227
32,bin_integrated,mean,2,0,46,92.7018004954,840.97781616,748.276015665
33,bin_integrated,mean,2,1,46,112.67932799,893.029426925,780.350098934
34,bin_integrated,mean,4,0,23,59.728747787,777.082921627,717.35417384
35,bin_integrated,mean,4,1,23,60.5056088007,811.671683872,751.166075071
36,bin_integrated,mean,4,2,22,49.4440093405,777.334351024,727.890341683
37,bin_integrated,mean,4,3,22,75.5009294106,818.084705522,742.583776112
38,bin_integrated,mean,8,0,11,30.3352844283,645.735004619,615.399720191
39,bin_integrated,mean,8,1,11,30.3610884847,728.180961452,697.819872967
40,bin_integrated,mean,8,2,11,30.4912480628,732.764310057,702.273061994
41,bin_integrated,mean,8,3,11,47.2147633067,756.575157216,709.36039391
42,bin_integrated,mean,8,4,11,29.1892877564,682.399170382,653.209882626
43,bin_integrated,mean,8,5,11,33.6758211688,648.010865108,614.335043939
44,bin_integrated,mean,8,6,10,26.5372112129,606.181142829,579.643931616
45,bin_integrated,mean,8,7,10,24.895842464,604.843285038,579.947442574
46,bin_integrated,maximum,1,0,93,171.432555572,918.806654178,747.374098606
47,bin_integrated,maximum,2,0,46,88.2491526981,810.623830544,722.374677846
48,bin_integrated,maximum,2,1,46,107.149351301,860.300965948,753.151614647
49,bin_integrated,maximum,4,0,23,57.263399841,750.911603096,693.648203255
50,bin_integrated,maximum,4,1,23,57.5482167257,782.799745432,725.251528706
51,bin_integrated,maximum,4,2,22,46.2552873097,748.147419552,701.892132242
52,bin_integrated,maximum,4,3,22,71.8240758901,788.270801067,716.446725177
53,bin_integrated,maximum,8,0,11,28.7586858584,622.117334471,593.358648612
54,bin_integrated,maximum,8,1,11,28.6102870107,701.670962698,673.060675688
55,bin_integrated,maximum,8,2,11,28.6454409121,705.176532761,676.531091849
56,bin_integrated,maximum,8,3,11,44.8483532139,729.501007282,684.652654069
57,bin_integrated,maximum,8,4,11,28.0608588246,661.525543989,633.464685165
58,bin_integrated,maximum,8,5,11,32.0898449063,628.567341753,596.477496847
59,bin_integrated,maximum,8,6,10,25.2537561808,587.129012434,561.875256253
60,bin_integrated,maximum,8,7,10,23.5667358265,583.418109687,559.851373861
