quantity,value,unit,interpretation
archive_spectral_bins,94,count,all Eureka bins
common_support_bins,93,count,entire bin supported by both models
excluded_extrapolation_bins,1,count,excluded before comparison
primary_delta_chi2,774.403154539,descriptive contrast,center sampling; mean asymmetric error
multiverse_designs,60,count,sampling x error x factor x every origin
multiverse_positive_fraction,1,fraction,preference for supplied full model
multiverse_delta_min,559.630769201,descriptive contrast,declared multiverse
multiverse_delta_median,699.695587555,descriptive contrast,declared multiverse
multiverse_delta_max,780.350098934,descriptive contrast,declared multiverse
covariance_grid_cells,20,count,amplitude x length grid
covariance_delta_min,41.5334845741,descriptive contrast,declared covariance grid
leave_one_bin_delta_min,684.772638363,descriptive contrast,all single-bin deletions
block_deletion_delta_min,3.18986529686,descriptive contrast,all contiguous block deletions
inside_4p1_4p6_delta,289.376606759,descriptive contrast,models refit inside interval
outside_4p1_4p6_delta,6.03697353965,descriptive contrast,models refit outside interval
surface_gravity,4.25776279265,m s-2,saved system parameters
atmospheric_scale_height,982.82172904,km,illustrative mu=2.3
one_scale_height_signal,421.170836991,ppm,illustrative
robust_spectral_amplitude,1488.94279223,ppm,95th minus 5th percentile
robust_amplitude_scale_heights,3.53524665399,illustrative scale heights,not composition
